id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
8743	genus	Marinitoga	2	3	3	3	3.0	3.00	0.00	[3, 3]
8744	genus	Bordetella	344	3	5	3	3.0	3.01	0.13	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3]
8745	genus	Trichococcus	1	6	6	6	6	6.00	0.00	[6]
8746	genus	Tepidanaerobacter	2	2	2	2	2.0	2.00	0.00	[2, 2]
8747	genus	Sphingobacterium	4	4	8	7	7.0	6.50	1.50	[8, 7, 7, 4]
8748	genus	Trueperella	3	1	2	2	2	1.67	0.47	[2, 1, 2]
8749	genus	Lysinibacillus	5	10	13	12	12	11.80	0.98	[10, 13, 12, 12, 12]
8750	genus	Alcanivorax	5	2	3	2	2	2.40	0.49	[3, 2, 2, 3, 2]
8751	genus	Aquifex	1	2	2	2	2	2.00	0.00	[2]
8752	genus	Pseudomonas	245	1	8	4	5	4.87	1.22	[4, 7, 5, 5, 5, 5, 5, 6, 4, 4, 4, 6, 4, 7, 7, 7, 4, 5, 7, 5, 4, 4, 4, 4, 6, 8, 4, 5, 6, 6, 6, 4, 4, 6, 4, 4, 4, 6, 4, 7, 7, 4, 5, 5, 5, 5, 4, 5, 5, 7, 5, 4, 5, 8, 7, 6, 4, 4, 4, 7, 7, 4, 5, 4, 6, 4, 6, 7, 6, 4, 1, 5, 4, 5, 4, 4, 5, 5, 6, 4, 6, 6, 6, 5, 6, 4, 4, 5, 4, 4, 6, 4, 7, 5, 6, 4, 6, 5, 6, 4, 5, 5, 7, 7, 5, 4, 4, 4, 5, 5, 4, 8, 6, 5, 4, 5, 4, 4, 5, 6, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 7, 4, 4, 5, 6, 6, 4, 4, 4, 6, 5, 1, 4, 3, 5, 5, 4, 5, 4, 4, 6, 6, 4, 5, 6, 7, 6, 6, 7, 4, 5, 1, 1, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 4, 4, 7, 4, 7, 4, 4, 4, 5, 5, 5, 4, 7, 5, 5, 7, 5, 5, 6, 7, 6, 4, 3, 5, 4, 4, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 7, 6, 5, 5, 7, 4, 4, 5, 4, 4, 5, 4]
